"Number","Name","AssetId","TechnologyId","Category","TypeA","TypeB","Rank","Rarity","Price","Weight","StackSize","Description","ImageUrl","LocalIcon","PaldeckUrl","CommandGive","CommandGiveMe"
,"Electric Support Whistle Schematic","Blueprint_Otomo_ElementBoost_Electricity_1_2","Blueprint_Otomo_ElementBoost_Electricity_1_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","8","2","10000","0","9999","When in inventory, unlocks recipe for Electric Support Whistle (Rare). Can be crafted at High-Quality Workbench.",,,"https://paldeck.cc/items/Blueprint_Otomo_ElementBoost_Electricity_1_2","!give Blueprint_Otomo_ElementBoost_Electricity_1_2:9999","!giveme Blueprint_Otomo_ElementBoost_Electricity_1_2:9999"
,"Fire Support Whistle Schematic","Blueprint_Otomo_ElementBoost_Fire_1_2","Blueprint_Otomo_ElementBoost_Fire_1_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","8","2","10000","0","9999","When in inventory, unlocks recipe for Fire Support Whistle (Rare). Can be crafted at High-Quality Workbench.",,,"https://paldeck.cc/items/Blueprint_Otomo_ElementBoost_Fire_1_2","!give Blueprint_Otomo_ElementBoost_Fire_1_2:9999","!giveme Blueprint_Otomo_ElementBoost_Fire_1_2:9999"
,"Ice Support Whistle Schematic","Blueprint_Otomo_ElementBoost_Ice_1_2","Blueprint_Otomo_ElementBoost_Ice_1_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","8","2","10000","0","9999","When in inventory, unlocks recipe for Ice Support Whistle (Rare). Can be crafted at High-Quality Workbench.",,,"https://paldeck.cc/items/Blueprint_Otomo_ElementBoost_Ice_1_2","!give Blueprint_Otomo_ElementBoost_Ice_1_2:9999","!giveme Blueprint_Otomo_ElementBoost_Ice_1_2:9999"
,"Grass Support Whistle Schematic","Blueprint_Otomo_ElementBoost_Leaf_1_2","Blueprint_Otomo_ElementBoost_Leaf_1_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","8","2","10000","0","9999","When in inventory, unlocks recipe for Grass Support Whistle (Rare). Can be crafted at High-Quality Workbench.",,,"https://paldeck.cc/items/Blueprint_Otomo_ElementBoost_Leaf_1_2","!give Blueprint_Otomo_ElementBoost_Leaf_1_2:9999","!giveme Blueprint_Otomo_ElementBoost_Leaf_1_2:9999"
,"Neutral Support Whistle Schematic","Blueprint_Otomo_ElementBoost_Normal_1_2","Blueprint_Otomo_ElementBoost_Normal_1_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","8","2","10000","0","9999","When in inventory, unlocks recipe for Neutral Support Whistle (Rare). Can be crafted at High-Quality Workbench.",,,"https://paldeck.cc/items/Blueprint_Otomo_ElementBoost_Normal_1_2","!give Blueprint_Otomo_ElementBoost_Normal_1_2:9999","!giveme Blueprint_Otomo_ElementBoost_Normal_1_2:9999"
,"Water Support Whistle Schematic","Blueprint_Otomo_ElementBoost_Water_1_2","Blueprint_Otomo_ElementBoost_Water_1_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","8","2","10000","0","9999","When in inventory, unlocks recipe for Water Support Whistle (Rare). Can be crafted at High-Quality Workbench.",,,"https://paldeck.cc/items/Blueprint_Otomo_ElementBoost_Water_1_2","!give Blueprint_Otomo_ElementBoost_Water_1_2:9999","!giveme Blueprint_Otomo_ElementBoost_Water_1_2:9999"
,"Unknown Item (Blueprint_Otomo_PalConfidence_Increase_1)","Blueprint_Otomo_PalConfidence_Increase_1","Blueprint_Otomo_PalConfidence_Increase_1","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","99","1","10000","0","1","Unknown Description (Blueprint_Otomo_PalConfidence_Increase_1)",,,"https://paldeck.cc/items/Blueprint_Otomo_PalConfidence_Increase_1","!give Blueprint_Otomo_PalConfidence_Increase_1:9999","!giveme Blueprint_Otomo_PalConfidence_Increase_1:9999"
,"Ring of Trust Schematic","Blueprint_Otomo_PalConfidence_Increase_1_fix","Blueprint_Otomo_PalConfidence_Increase_1_fix","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","8","3","10000","0","9999","When in inventory, unlocks recipe for Ring of Trust (Epic). Can be crafted at Production Assembly Line.",,,"https://paldeck.cc/items/Blueprint_Otomo_PalConfidence_Increase_1_fix","!give Blueprint_Otomo_PalConfidence_Increase_1_fix:9999","!giveme Blueprint_Otomo_PalConfidence_Increase_1_fix:9999"
,"Growth Acceleration Bell Schematic","Blueprint_Otomo_PalExp_Increase_1_2","Blueprint_Otomo_PalExp_Increase_1_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","8","2","10000","0","9999","When in inventory, unlocks recipe for Growth Acceleration Bell (Rare). Can be crafted at High-Quality Workbench.",,,"https://paldeck.cc/items/Blueprint_Otomo_PalExp_Increase_1_2","!give Blueprint_Otomo_PalExp_Increase_1_2:9999","!giveme Blueprint_Otomo_PalExp_Increase_1_2:9999"
,"Overheat Rifle Schematic 1","Blueprint_OverheatRifle_2","Blueprint_OverheatRifle_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","1","10000","0","9999","When in inventory, unlocks recipe for Overheat Rifle (Uncommon). Can be crafted at Advanced Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_OverheatRifle_2","!give Blueprint_OverheatRifle_2:9999","!giveme Blueprint_OverheatRifle_2:9999"
,"Overheat Rifle Schematic 2","Blueprint_OverheatRifle_3","Blueprint_OverheatRifle_3","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","2","10000","0","9999","When in inventory, unlocks recipe for Overheat Rifle (Rare). Can be crafted at Advanced Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_OverheatRifle_3","!give Blueprint_OverheatRifle_3:9999","!giveme Blueprint_OverheatRifle_3:9999"
,"Overheat Rifle Schematic 3","Blueprint_OverheatRifle_4","Blueprint_OverheatRifle_4","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","When in inventory, unlocks recipe for Overheat Rifle (Epic). Can be crafted at Advanced Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_OverheatRifle_4","!give Blueprint_OverheatRifle_4:9999","!giveme Blueprint_OverheatRifle_4:9999"
,"Overheat Rifle Schematic 4","Blueprint_OverheatRifle_5","Blueprint_OverheatRifle_5","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","4","10000","0","9999","When in inventory, unlocks recipe for Overheat Rifle (Legendary). Can be crafted at Advanced Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_OverheatRifle_5","!give Blueprint_OverheatRifle_5:9999","!giveme Blueprint_OverheatRifle_5:9999"
,"Celestial Sigil Schematic","Blueprint_PalSummon_YakushimaBoss002","Blueprint_PalSummon_YakushimaBoss002","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","[Tides of Terraria] When in inventory, unlocks recipe for Celestial Sigil. Can be crafted at Primitive Workbench.",,,"https://paldeck.cc/items/Blueprint_PalSummon_YakushimaBoss002","!give Blueprint_PalSummon_YakushimaBoss002:9999","!giveme Blueprint_PalSummon_YakushimaBoss002:9999"
,"Plasteel Armor Schematic 1","Blueprint_PlasticArmor_2","Blueprint_PlasticArmor_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","1","10000","0","9999","When in inventory, unlocks recipe for Plasteel Armor (Uncommon). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmor_2","!give Blueprint_PlasticArmor_2:9999","!giveme Blueprint_PlasticArmor_2:9999"
,"Plasteel Armor Schematic 2","Blueprint_PlasticArmor_3","Blueprint_PlasticArmor_3","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","2","10000","0","9999","When in inventory, unlocks recipe for Plasteel Armor (Rare). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmor_3","!give Blueprint_PlasticArmor_3:9999","!giveme Blueprint_PlasticArmor_3:9999"
,"Plasteel Armor Schematic 3","Blueprint_PlasticArmor_4","Blueprint_PlasticArmor_4","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","When in inventory, unlocks recipe for Plasteel Armor (Epic). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmor_4","!give Blueprint_PlasticArmor_4:9999","!giveme Blueprint_PlasticArmor_4:9999"
,"Plasteel Armor Schematic 4","Blueprint_PlasticArmor_5","Blueprint_PlasticArmor_5","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","4","10000","0","9999","When in inventory, unlocks recipe for Plasteel Armor (Legendary). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmor_5","!give Blueprint_PlasticArmor_5:9999","!giveme Blueprint_PlasticArmor_5:9999"
,"Cold Resistant Plasteel Armor Schematic 1","Blueprint_PlasticArmorCold_2","Blueprint_PlasticArmorCold_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","1","10000","0","9999","When in inventory, unlocks recipe for Cold Resistant Plasteel Armor (Uncommon). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorCold_2","!give Blueprint_PlasticArmorCold_2:9999","!giveme Blueprint_PlasticArmorCold_2:9999"
,"Cold Resistant Plasteel Armor Schematic 2","Blueprint_PlasticArmorCold_3","Blueprint_PlasticArmorCold_3","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","2","10000","0","9999","When in inventory, unlocks recipe for Cold Resistant Plasteel Armor (Rare). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorCold_3","!give Blueprint_PlasticArmorCold_3:9999","!giveme Blueprint_PlasticArmorCold_3:9999"
,"Cold Resistant Plasteel Armor Schematic 3","Blueprint_PlasticArmorCold_4","Blueprint_PlasticArmorCold_4","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","When in inventory, unlocks recipe for Cold Resistant Plasteel Armor (Epic). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorCold_4","!give Blueprint_PlasticArmorCold_4:9999","!giveme Blueprint_PlasticArmorCold_4:9999"
,"Cold Resistant Plasteel Armor Schematic 4","Blueprint_PlasticArmorCold_5","Blueprint_PlasticArmorCold_5","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","4","10000","0","9999","When in inventory, unlocks recipe for Cold Resistant Plasteel Armor (Legendary). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorCold_5","!give Blueprint_PlasticArmorCold_5:9999","!giveme Blueprint_PlasticArmorCold_5:9999"
,"Heat Resistant Plasteel Armor Schematic 1","Blueprint_PlasticArmorHeat_2","Blueprint_PlasticArmorHeat_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","1","10000","0","9999","When in inventory, unlocks recipe for Heat Resistant Plasteel Armor (Uncommon). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorHeat_2","!give Blueprint_PlasticArmorHeat_2:9999","!giveme Blueprint_PlasticArmorHeat_2:9999"
,"Heat Resistant Plasteel Armor Schematic 2","Blueprint_PlasticArmorHeat_3","Blueprint_PlasticArmorHeat_3","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","2","10000","0","9999","When in inventory, unlocks recipe for Heat Resistant Plasteel Armor (Rare). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorHeat_3","!give Blueprint_PlasticArmorHeat_3:9999","!giveme Blueprint_PlasticArmorHeat_3:9999"
,"Heat Resistant Plasteel Armor Schematic 3","Blueprint_PlasticArmorHeat_4","Blueprint_PlasticArmorHeat_4","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","When in inventory, unlocks recipe for Heat Resistant Plasteel Armor (Epic). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorHeat_4","!give Blueprint_PlasticArmorHeat_4:9999","!giveme Blueprint_PlasticArmorHeat_4:9999"
,"Heat Resistant Plasteel Armor Schematic 4","Blueprint_PlasticArmorHeat_5","Blueprint_PlasticArmorHeat_5","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","4","10000","0","9999","When in inventory, unlocks recipe for Heat Resistant Plasteel Armor (Legendary). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorHeat_5","!give Blueprint_PlasticArmorHeat_5:9999","!giveme Blueprint_PlasticArmorHeat_5:9999"
,"Lightweight Plasteel Armor Schematic 1","Blueprint_PlasticArmorWeight_2","Blueprint_PlasticArmorWeight_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","1","10000","0","9999","When in inventory, unlocks recipe for Lightweight Plasteel Armor (Uncommon). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorWeight_2","!give Blueprint_PlasticArmorWeight_2:9999","!giveme Blueprint_PlasticArmorWeight_2:9999"
,"Lightweight Plasteel Armor Schematic 2","Blueprint_PlasticArmorWeight_3","Blueprint_PlasticArmorWeight_3","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","2","10000","0","9999","When in inventory, unlocks recipe for Lightweight Plasteel Armor (Rare). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorWeight_3","!give Blueprint_PlasticArmorWeight_3:9999","!giveme Blueprint_PlasticArmorWeight_3:9999"
,"Lightweight Plasteel Armor Schematic 3","Blueprint_PlasticArmorWeight_4","Blueprint_PlasticArmorWeight_4","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","When in inventory, unlocks recipe for Lightweight Plasteel Armor (Epic). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorWeight_4","!give Blueprint_PlasticArmorWeight_4:9999","!giveme Blueprint_PlasticArmorWeight_4:9999"
,"Lightweight Plasteel Armor Schematic 4","Blueprint_PlasticArmorWeight_5","Blueprint_PlasticArmorWeight_5","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","4","10000","0","9999","When in inventory, unlocks recipe for Lightweight Plasteel Armor (Legendary). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticArmorWeight_5","!give Blueprint_PlasticArmorWeight_5:9999","!giveme Blueprint_PlasticArmorWeight_5:9999"
,"Plasteel Helmet Schematic 1","Blueprint_PlasticHelmet_2","Blueprint_PlasticHelmet_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","1","10000","0","9999","When in inventory, unlocks recipe for Plasteel Helmet (Uncommon). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticHelmet_2","!give Blueprint_PlasticHelmet_2:9999","!giveme Blueprint_PlasticHelmet_2:9999"
,"Plasteel Helmet Schematic 2","Blueprint_PlasticHelmet_3","Blueprint_PlasticHelmet_3","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","2","10000","0","9999","When in inventory, unlocks recipe for Plasteel Helmet (Rare). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticHelmet_3","!give Blueprint_PlasticHelmet_3:9999","!giveme Blueprint_PlasticHelmet_3:9999"
,"Plasteel Helmet Schematic 3","Blueprint_PlasticHelmet_4","Blueprint_PlasticHelmet_4","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","When in inventory, unlocks recipe for Plasteel Helmet (Epic). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticHelmet_4","!give Blueprint_PlasticHelmet_4:9999","!giveme Blueprint_PlasticHelmet_4:9999"
,"Plasteel Helmet Schematic 4","Blueprint_PlasticHelmet_5","Blueprint_PlasticHelmet_5","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","4","10000","0","9999","When in inventory, unlocks recipe for Plasteel Helmet (Legendary). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_PlasticHelmet_5","!give Blueprint_PlasticHelmet_5:9999","!giveme Blueprint_PlasticHelmet_5:9999"
,"Pump-Action Shotgun Schematic 1","Blueprint_PumpActionShotgun_2","Blueprint_PumpActionShotgun_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","1","10000","0","9999","When in inventory, unlocks recipe for Pump-Action Shotgun (Uncommon). Can be crafted at Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_PumpActionShotgun_2","!give Blueprint_PumpActionShotgun_2:9999","!giveme Blueprint_PumpActionShotgun_2:9999"
,"Pump-Action Shotgun Schematic 2","Blueprint_PumpActionShotgun_3","Blueprint_PumpActionShotgun_3","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","2","10000","0","9999","When in inventory, unlocks recipe for Pump-Action Shotgun (Rare). Can be crafted at Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_PumpActionShotgun_3","!give Blueprint_PumpActionShotgun_3:9999","!giveme Blueprint_PumpActionShotgun_3:9999"
,"Pump-Action Shotgun Schematic 3","Blueprint_PumpActionShotgun_4","Blueprint_PumpActionShotgun_4","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","When in inventory, unlocks recipe for Pump-Action Shotgun (Epic). Can be crafted at Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_PumpActionShotgun_4","!give Blueprint_PumpActionShotgun_4:9999","!giveme Blueprint_PumpActionShotgun_4:9999"
,"Pump-Action Shotgun Schematic 4","Blueprint_PumpActionShotgun_5","Blueprint_PumpActionShotgun_5","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","4","10000","0","9999","When in inventory, unlocks recipe for Pump-Action Shotgun (Legendary). Can be crafted at Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_PumpActionShotgun_5","!give Blueprint_PumpActionShotgun_5:9999","!giveme Blueprint_PumpActionShotgun_5:9999"
,"Unknown Item (Blueprint_Salvage_FishingBait_1_A)","Blueprint_Salvage_FishingBait_1_A","Blueprint_Salvage_FishingBait_1_A","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","0","1","0","9999","Unknown Description (Blueprint_Salvage_FishingBait_1_A)",,,"https://paldeck.cc/items/Blueprint_Salvage_FishingBait_1_A","!give Blueprint_Salvage_FishingBait_1_A:9999","!giveme Blueprint_Salvage_FishingBait_1_A:9999"
,"Unknown Item (Blueprint_Salvage_FishingBait_1_B)","Blueprint_Salvage_FishingBait_1_B","Blueprint_Salvage_FishingBait_1_B","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","0","1","0","9999","Unknown Description (Blueprint_Salvage_FishingBait_1_B)",,,"https://paldeck.cc/items/Blueprint_Salvage_FishingBait_1_B","!give Blueprint_Salvage_FishingBait_1_B:9999","!giveme Blueprint_Salvage_FishingBait_1_B:9999"
,"Unknown Item (Blueprint_Salvage_FishingBait_2_A)","Blueprint_Salvage_FishingBait_2_A","Blueprint_Salvage_FishingBait_2_A","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","0","1","0","9999","Unknown Description (Blueprint_Salvage_FishingBait_2_A)",,,"https://paldeck.cc/items/Blueprint_Salvage_FishingBait_2_A","!give Blueprint_Salvage_FishingBait_2_A:9999","!giveme Blueprint_Salvage_FishingBait_2_A:9999"
,"Unknown Item (Blueprint_Salvage_FishingBait_2_B)","Blueprint_Salvage_FishingBait_2_B","Blueprint_Salvage_FishingBait_2_B","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","0","1","0","9999","Unknown Description (Blueprint_Salvage_FishingBait_2_B)",,,"https://paldeck.cc/items/Blueprint_Salvage_FishingBait_2_B","!give Blueprint_Salvage_FishingBait_2_B:9999","!giveme Blueprint_Salvage_FishingBait_2_B:9999"
,"Unknown Item (Blueprint_Salvage_FishingBait_3_B)","Blueprint_Salvage_FishingBait_3_B","Blueprint_Salvage_FishingBait_3_B","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","0","1","0","9999","Unknown Description (Blueprint_Salvage_FishingBait_3_B)",,,"https://paldeck.cc/items/Blueprint_Salvage_FishingBait_3_B","!give Blueprint_Salvage_FishingBait_3_B:9999","!giveme Blueprint_Salvage_FishingBait_3_B:9999"
,"Unknown Item (Blueprint_Salvage_TreasureBoxKey01)","Blueprint_Salvage_TreasureBoxKey01","Blueprint_Salvage_TreasureBoxKey01","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","0","1","0","9999","Unknown Description (Blueprint_Salvage_TreasureBoxKey01)",,,"https://paldeck.cc/items/Blueprint_Salvage_TreasureBoxKey01","!give Blueprint_Salvage_TreasureBoxKey01:9999","!giveme Blueprint_Salvage_TreasureBoxKey01:9999"
,"Semi-Auto Rifle Schematic 1","Blueprint_SemiAutoRifle_2","Blueprint_SemiAutoRifle_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","1","10000","0","9999","When in inventory, unlocks recipe for Semi-Auto Rifle (Uncommon). Can be crafted at Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_SemiAutoRifle_2","!give Blueprint_SemiAutoRifle_2:9999","!giveme Blueprint_SemiAutoRifle_2:9999"
,"Semi-Auto Rifle Schematic 2","Blueprint_SemiAutoRifle_3","Blueprint_SemiAutoRifle_3","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","2","10000","0","9999","When in inventory, unlocks recipe for Semi-Auto Rifle (Rare). Can be crafted at Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_SemiAutoRifle_3","!give Blueprint_SemiAutoRifle_3:9999","!giveme Blueprint_SemiAutoRifle_3:9999"
,"Semi-Auto Rifle Schematic 3","Blueprint_SemiAutoRifle_4","Blueprint_SemiAutoRifle_4","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","When in inventory, unlocks recipe for Semi-Auto Rifle (Epic). Can be crafted at Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_SemiAutoRifle_4","!give Blueprint_SemiAutoRifle_4:9999","!giveme Blueprint_SemiAutoRifle_4:9999"
,"Semi-Auto Rifle Schematic 4","Blueprint_SemiAutoRifle_5","Blueprint_SemiAutoRifle_5","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","4","10000","0","9999","When in inventory, unlocks recipe for Semi-Auto Rifle (Legendary). Can be crafted at Weapon Assembly Line.",,,"https://paldeck.cc/items/Blueprint_SemiAutoRifle_5","!give Blueprint_SemiAutoRifle_5:9999","!giveme Blueprint_SemiAutoRifle_5:9999"
,"Semi-Auto Shotgun Schematic 1","Blueprint_SemiAutoShotgun_2","Blueprint_SemiAutoShotgun_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","1","10000","0","9999","When in inventory, unlocks recipe for Semi-Auto Shotgun (Uncommon). Can be crafted at Weapon Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_SemiAutoShotgun_2","!give Blueprint_SemiAutoShotgun_2:9999","!giveme Blueprint_SemiAutoShotgun_2:9999"
,"Semi-Auto Shotgun Schematic 2","Blueprint_SemiAutoShotgun_3","Blueprint_SemiAutoShotgun_3","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","2","10000","0","9999","When in inventory, unlocks recipe for Semi-Auto Shotgun (Rare). Can be crafted at Weapon Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_SemiAutoShotgun_3","!give Blueprint_SemiAutoShotgun_3:9999","!giveme Blueprint_SemiAutoShotgun_3:9999"
,"Semi-Auto Shotgun Schematic 3","Blueprint_SemiAutoShotgun_4","Blueprint_SemiAutoShotgun_4","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","When in inventory, unlocks recipe for Semi-Auto Shotgun (Epic). Can be crafted at Weapon Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_SemiAutoShotgun_4","!give Blueprint_SemiAutoShotgun_4:9999","!giveme Blueprint_SemiAutoShotgun_4:9999"
,"Semi-Auto Shotgun Schematic 4","Blueprint_SemiAutoShotgun_5","Blueprint_SemiAutoShotgun_5","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","4","10000","0","9999","When in inventory, unlocks recipe for Semi-Auto Shotgun (Legendary). Can be crafted at Weapon Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_SemiAutoShotgun_5","!give Blueprint_SemiAutoShotgun_5:9999","!giveme Blueprint_SemiAutoShotgun_5:9999"
,"Laboratory Chair Schematic","Blueprint_SF_Chair","Blueprint_SF_Chair","Other","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","0","10000","0","9999","When in inventory or stored in a base, allows you to build Laboratory Chair.",,,"https://paldeck.cc/items/Blueprint_SF_Chair","!give Blueprint_SF_Chair:9999","!giveme Blueprint_SF_Chair:9999"
,"Laboratory Desk Schematic","Blueprint_SF_Desk","Blueprint_SF_Desk","Other","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","0","10000","0","9999","When in inventory or stored in a base, allows you to build Laboratory Desk.",,,"https://paldeck.cc/items/Blueprint_SF_Desk","!give Blueprint_SF_Desk:9999","!giveme Blueprint_SF_Desk:9999"
,"Hexolite Armor Schematic 1","Blueprint_SFArmor_2","Blueprint_SFArmor_2","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","1","10000","0","9999","When in inventory, unlocks recipe for Hexolite Armor (Uncommon). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_SFArmor_2","!give Blueprint_SFArmor_2:9999","!giveme Blueprint_SFArmor_2:9999"
,"Hexolite Armor Schematic 2","Blueprint_SFArmor_3","Blueprint_SFArmor_3","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","2","10000","0","9999","When in inventory, unlocks recipe for Hexolite Armor (Rare). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_SFArmor_3","!give Blueprint_SFArmor_3:9999","!giveme Blueprint_SFArmor_3:9999"
,"Hexolite Armor Schematic 3","Blueprint_SFArmor_4","Blueprint_SFArmor_4","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","3","10000","0","9999","When in inventory, unlocks recipe for Hexolite Armor (Epic). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_SFArmor_4","!give Blueprint_SFArmor_4:9999","!giveme Blueprint_SFArmor_4:9999"
,"Hexolite Armor Schematic 4","Blueprint_SFArmor_5","Blueprint_SFArmor_5","Materials","EPalItemTypeA::Blueprint","EPalItemTypeB::Blueprint","1","4","10000","0","9999","When in inventory, unlocks recipe for Hexolite Armor (Legendary). Can be crafted at Production Assembly Line II.",,,"https://paldeck.cc/items/Blueprint_SFArmor_5","!give Blueprint_SFArmor_5:9999","!giveme Blueprint_SFArmor_5:9999"
